pwsid,supply_name,lead_lines,gpcl_lines,non_lead_lines,unknown_lines,total_lines,calc_total,inventory_status,total_mismatch
MI0004880   ,OAK PARK,0.0,0.0,9601.0,1243.0,10844.0,10844.0,complete,False
MI0004890   ,SOUTH SHORE WATER SYSTEM,0.0,68.0,115.0,61.0,244.0,244.0,complete,False
MI0004920   ,OCEANA ACRES,0.0,0.0,9.0,0.0,9.0,9.0,complete,False
MI0004935   ,OGEMAW TOWNSHIP,0.0,0.0,30.0,0.0,30.0,30.0,complete,False
MI0004960   ,OLD FARM COLONY WATER ASSOCIATION,0.0,,68.0,14.0,82.0,82.0,incomplete,False
MI0004989   ,OLIVE/BLENDON TWPS,0.0,0.0,95.0,86.0,181.0,181.0,complete,False
MI0004990   ,"OLIVET, CITY OF",,3.0,375.0,,378.0,378.0,incomplete,False
MI0005005   ,"OMER, CITY OF",0.0,0.0,181.0,0.0,181.0,181.0,complete,False
MI0005010   ,"ONAWAY, CITY OF",177.0,65.0,240.0,0.0,482.0,482.0,complete,False
MI0005020   ,ONSTED,6.0,,218.0,134.0,358.0,358.0,incomplete,False
MI0005030   ,ONTONAGON,0.0,0.0,1431.0,0.0,1431.0,1431.0,complete,False
MI0005031   ,ORCHARD LAKE VILLAGE,0.0,0.0,911.0,0.0,911.0,911.0,complete,False
MI0005033   ,HUNTMORE ESTATES,,,118.0,,118.0,118.0,incomplete,False
MI0005034   ,ORONOKO TOWNSHIP,400.0,0.0,210.0,0.0,610.0,610.0,complete,False
MI0005035   ,ORION TOWNSHIP,0.0,0.0,5148.0,2474.0,7622.0,7622.0,complete,False
MI0005037   ,OSBORN LAKE ESTATES,0.0,0.0,45.0,0.0,45.0,45.0,complete,False
MI0005039   ,ORCHARD PLACE MANOR APARTMENTS,,,,,,0.0,incomplete,False
MI0005040   ,OSCODA TOWNSHIP,0.0,6.0,3706.0,0.0,3712.0,3712.0,complete,False
MI0005050   ,"OTISVILLE, VILLAGE OF",,,,,,0.0,incomplete,False
MI0005060   ,OTSEGO,41.0,1065.0,460.0,0.0,1566.0,1566.0,complete,False
MI0005065   ,OTSEGO TOWNSHIP,0.0,0.0,228.0,0.0,,228.0,incomplete,False
MI0005100   ,"OVID, CITY OF",0.0,45.0,607.0,9.0,661.0,661.0,complete,False
MI0005110   ,"OWENDALE, VILLAGE OF",0.0,0.0,110.0,0.0,110.0,110.0,complete,False
MI0005120   ,"OWOSSO, CITY OF",1950.0,1809.0,2873.0,13.0,6645.0,6645.0,complete,False
MI0005130   ,"OXFORD, VILLAGE OF",,57.0,1189.0,69.0,1315.0,1315.0,incomplete,False
MI0005136   ,OXFORD VILLAGE CONDOMINIUMS,,,,,,0.0,incomplete,False
MI0005138   ,OXFORD TOWNSHIP,0.0,0.0,3215.0,0.0,3215.0,3215.0,complete,False
MI0005150   ,OYSTER POINTE CONDOMINIUMS,0.0,0.0,15.0,0.0,15.0,15.0,complete,False
MI0005160   ,RICHMOND TOWNSHIP,0.0,0.0,210.0,,,210.0,incomplete,False
MI0005180   ,MAN NOR FARMS SUBDIVISION,0.0,1.0,11.0,42.0,54.0,54.0,complete,False
MI0005204   ,"PARMA, VILLAGE OF",,,247.0,,247.0,247.0,incomplete,False
MI0005205   ,PARMA TOWNSHIP-AMBERTON VILL.,0.0,0.0,109.0,0.0,109.0,109.0,complete,False
MI0005209   ,PAW PAW APTS - WEST MAPLE LAKE,0.0,0.0,2.0,0.0,2.0,2.0,complete,False
MI0005210   ,PAW PAW,0.0,56.0,31.0,208.0,295.0,295.0,complete,False
MI0005220   ,"PECK, VILLAGE OF",,,267.0,,267.0,267.0,incomplete,False
MI0005229   ,THE PENINSULA DEVELOPMENT LLC,,,117.0,,117.0,117.0,incomplete,False
MI0005232   ,PENNFIELD TWP-CONVIS/VERONA,0.0,2.0,310.0,0.0,312.0,312.0,complete,False
MI0005233   ,PENINSULA TOWNSHIP,,,581.0,,581.0,581.0,incomplete,False
MI0005234   ,CASS COUNTY WATER SYSTEM,0.0,0.0,830.0,0.0,830.0,830.0,complete,False
MI0005235   ,PENNY LAKE ESTATES SUBDIVISION,0.0,0.0,122.0,0.0,122.0,122.0,complete,False
MI0005240   ,PENTLAND TOWNSHIP,0.0,0.0,168.0,64.0,232.0,232.0,complete,False
MI0005260   ,PENTWATER,112.0,114.0,457.0,133.0,816.0,816.0,complete,False
MI0005267   ,PERE MARQUETTE TWP - CUSTOMER,0.0,5.0,121.0,,126.0,126.0,incomplete,False
MI0005268   ,PERE MARQUETTE TWP - WELLS,0.0,0.0,312.0,0.0,312.0,312.0,complete,False
MI0005270   ,"PERRINTON, VILLAGE OF",0.0,3.0,139.0,38.0,180.0,180.0,complete,False
MI0005280   ,"PERRY, CITY OF",,137.0,682.0,8.0,827.0,827.0,incomplete,False
MI0005290   ,PETERSBURG,,,550.0,,550.0,550.0,incomplete,False
MI0005300   ,"PETOSKEY, CITY OF",5.0,159.0,2451.0,840.0,3455.0,3455.0,complete,False
MI0005305   ,PETOSKEY PARK APARTMENTS,0.0,0.0,1.0,0.0,1.0,1.0,complete,False
MI0005310   ,PEWAMO,,113.0,87.0,,200.0,200.0,incomplete,False
MI0005315   ,PHEASANT RUN MANOR APARTMENTS,,0.0,15.0,0.0,15.0,15.0,incomplete,False
MI0005320   ,"PIGEON, VILLAGE OF",2.0,0.0,590.0,0.0,592.0,592.0,complete,False
