pwsid,year,county_for_checking,lines_replaced
MI0003420,2024,GOGEBIC,164
MI0003430,2021,GOGEBIC,1
MI0003430,2022,GOGEBIC,1
MI0003430,2023,GOGEBIC,1
MI0003430,2024,GOGEBIC,1
MI0003440,2024,MARQUETTE,1
MI0003460,2022,GRATIOT,8
MI0003460,2023,GRATIOT,41
MI0003460,2024,GRATIOT,11
MI0003470,2021,JACKSON,338
MI0003470,2022,JACKSON,103
MI0003470,2023,JACKSON,186
MI0003470,2024,JACKSON,368
MI0003490,2021,HILLSDALE,2
MI0003490,2022,HILLSDALE,1
MI0003490,2023,HILLSDALE,27
MI0003490,2024,HILLSDALE,23
MI0003520,2021,KALAMAZOO,940
MI0003520,2022,KALAMAZOO,829
MI0003520,2023,KALAMAZOO,363
MI0003520,2024,KALAMAZOO,810
MI0003525,2022,ALLEGAN,13
MI0003525,2023,ALLEGAN,18
MI0003525,2024,ALLEGAN,3
MI0003550,2022,MANISTEE,21
MI0003550,2023,MANISTEE,24
MI0003550,2024,MANISTEE,7
MI0003640,2021,DICKINSON,10
MI0003640,2022,DICKINSON,26
MI0003640,2023,DICKINSON,6
MI0003640,2024,DICKINSON,281
MI0003650,2021,GRAND TRAVERSE,2
MI0003650,2023,GRAND TRAVERSE,214
MI0003650,2024,GRAND TRAVERSE,38
MI0003660,2024,TUSCOLA,4
MI0003670,2021,BARAGA,18
MI0003670,2022,BARAGA,18
MI0003700,2021,MISSAUKEE,20
MI0003700,2022,MISSAUKEE,9
MI0003700,2023,MISSAUKEE,8
MI0003700,2024,MISSAUKEE,5
MI0003740,2021,OAKLAND,25
MI0003740,2024,OAKLAND,2
MI0003750,2021,MONTCALM,8
MI0003750,2022,MONTCALM,3
MI0003750,2023,MONTCALM,1
MI0003750,2024,MONTCALM,4
MI0003780,2021,LAPEER,1
MI0003780,2022,LAPEER,1
MI0003780,2023,LAPEER,111
MI0003780,2024,LAPEER,21
MI0003800,2021,OAKLAND,16
MI0003800,2022,OAKLAND,5
MI0003800,2023,OAKLAND,3
MI0003800,2024,OAKLAND,6
MI0003820,2021,VAN BUREN,1
MI0003820,2024,VAN BUREN,1
MI0003830,2021,VAN BUREN,4
MI0003830,2022,VAN BUREN,4
MI0003830,2023,VAN BUREN,4
MI0003830,2024,VAN BUREN,34
MI0003840,2021,INGHAM,11
MI0003840,2023,INGHAM,21
MI0003840,2024,INGHAM,21
MI0003870,2021,WAYNE,75
MI0003870,2022,WAYNE,108
MI0003870,2023,WAYNE,79
MI0003870,2024,WAYNE,7
MI0003880,2024,IRON,2
MI0003930,2021,WAYNE,20
MI0003930,2022,WAYNE,20
MI0003930,2023,WAYNE,16
MI0003930,2024,WAYNE,32
MI0003950,2021,KENT,3
MI0003950,2022,KENT,3
MI0003950,2023,KENT,29
MI0003950,2024,KENT,32
MI0003960,2021,MASON,95
MI0003960,2022,MASON,65
MI0003960,2023,MASON,68
MI0003960,2024,MASON,49
MI0003980,2022,CHEBOYGAN,1
MI0003980,2023,CHEBOYGAN,5
MI0003980,2024,CHEBOYGAN,5
MI0004000,2021,OAKLAND,8
MI0004000,2022,OAKLAND,7
MI0004000,2023,OAKLAND,7
MI0004000,2024,OAKLAND,6
MI0004010,2021,ANTRIM,27
MI0004010,2022,ANTRIM,9
MI0004010,2023,ANTRIM,8
MI0004010,2024,ANTRIM,14
MI0004020,2021,WASHTENAW,12
MI0004020,2022,WASHTENAW,13
MI0004020,2023,WASHTENAW,20
MI0004020,2024,WASHTENAW,57
MI0004030,2021,MANISTEE,3
MI0004030,2022,MANISTEE,4
MI0004030,2023,MANISTEE,19
