pwsid,system_name,county,population,monitoring_end_date,lead_90th_ppb,includes_5th_liter_or_not,sampling_next_due_subject_to_change,year,month
MI0000130,ALLEN PARK,WAYNE,28210.0,2021-12-31,11.0,Y,2022-09-30 00:00:00,2021.0,12.0
MI0000130,ALLEN PARK,WAYNE,28210.0,2022-12-31,14.0,Y,2023-09-30 00:00:00,2022.0,12.0
MI0000130,ALLEN PARK,WAYNE,28210.0,2023-12-31,11.0,Y,2024-09-30 00:00:00,2023.0,12.0
MI0000127,ALLENDALE TOWNSHIP,OTTAWA,19725.0,2016-12-31,1.0,N,2019-09-30 00:00:00,2016.0,12.0
MI0000127,ALLENDALE TOWNSHIP,OTTAWA,19725.0,2019-12-31,0.0,N,2020-09-30 00:00:00,2019.0,12.0
MI0000127,ALLENDALE TOWNSHIP,OTTAWA,19725.0,2020-12-31,0.0,N,2021-09-30 00:00:00,2020.0,12.0
MI0000127,ALLENDALE TOWNSHIP,OTTAWA,19725.0,2021-12-31,0.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0000127,ALLENDALE TOWNSHIP,OTTAWA,19725.0,2022-12-31,0.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0000127,ALLENDALE TOWNSHIP,OTTAWA,19725.0,2023-12-31,0.0,N,2024-09-30 00:00:00,2023.0,12.0
MI0000140,"ALMA, CITY OF",GRATIOT,9182.0,2017-12-31,0.0,N,2020-09-30 00:00:00,2017.0,12.0
MI0000140,"ALMA, CITY OF",GRATIOT,9182.0,2020-12-31,0.0,Y,2023-09-30 00:00:00,2020.0,12.0
MI0000140,"ALMA, CITY OF",GRATIOT,9182.0,2023-12-31,0.0,N,2026-09-30 00:00:00,2023.0,12.0
MI0000150,"ALMONT, VILLAGE OF",LAPEER,2674.0,2017-12-31,0.0,N,2019-09-30 00:00:00,2017.0,12.0
MI0000150,"ALMONT, VILLAGE OF",LAPEER,2674.0,2019-12-31,0.0,N,2020-09-30 00:00:00,2019.0,12.0
MI0000150,"ALMONT, VILLAGE OF",LAPEER,2674.0,2020-12-31,0.0,N,2021-09-30 00:00:00,2020.0,12.0
MI0000150,"ALMONT, VILLAGE OF",LAPEER,2674.0,2021-12-31,0.0,N,2022-09-30 00:00:00,2021.0,12.0
MI0000150,"ALMONT, VILLAGE OF",LAPEER,2674.0,2022-12-31,0.0,N,2023-09-30 00:00:00,2022.0,12.0
MI0000150,"ALMONT, VILLAGE OF",LAPEER,2674.0,2023-12-31,0.0,N,2024-09-30 00:00:00,2023.0,12.0
MI0000170,ALPENA TOWNSHIP,ALPENA,5197.0,2017-12-31,3.0,N,2019-09-30 00:00:00,2017.0,12.0
MI0000170,ALPENA TOWNSHIP,ALPENA,5197.0,2019-12-31,0.0,N,2020-09-30 00:00:00,2019.0,12.0
