base_pwsid,resolved_pwsid,system_name,display_name,county,monitoring_end_date,year,lead_90th_ppb,above_action_level,lines_replaced,inventory_year,inventory_lead,inventory_gpcl,inventory_unknown,total_to_identify_or_replace,inventory_complete_flag
MI0004595,MI0004595,MYSTIC RIDGE L.L.C.,MYSTIC RIDGE L.L.C.,LIVINGSTON,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0004595,MI0004595,MYSTIC RIDGE L.L.C.,MYSTIC RIDGE L.L.C.,LIVINGSTON,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0004600,MI0004600,NAHMA TOWNSHIP,NAHMA TOWNSHIP,DELTA,2022-12-31,2022,1.0,False,,2025.0,,,,,
MI0004600,MI0004600,NAHMA TOWNSHIP,NAHMA TOWNSHIP,DELTA,2022-12-31,2022,1.0,False,,2025.0,,,,,
MI0004878,MI0004878,SOUTHWEST OAKLAND TOWNSHIP,SOUTHWEST OAKLAND TOWNSHIP,OAKLAND,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0004878,MI0004878,SOUTHWEST OAKLAND TOWNSHIP,SOUTHWEST OAKLAND TOWNSHIP,OAKLAND,2022-12-31,2022,0.0,False,,2025.0,,,,,
MI0005005,MI0005005,"OMER, CITY OF","OMER, CITY OF",ARENAC,2023-12-31,2023,9.0,False,,2025.0,,,,,
MI0005005,MI0005005,"OMER, CITY OF","OMER, CITY OF",ARENAC,2023-12-31,2023,9.0,False,,2025.0,,,,,
MI0005037,MI0005037,OSBORN LAKE ESTATES,OSBORN LAKE ESTATES,LIVINGSTON,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0005037,MI0005037,OSBORN LAKE ESTATES,OSBORN LAKE ESTATES,LIVINGSTON,2023-12-31,2023,2.0,False,,2025.0,,,,,
MI0005039,MI0005039,ORCHARD PLACE MANOR APARTMENTS,ORCHARD PLACE MANOR APARTMENTS,SHIAWASSEE,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005039,MI0005039,ORCHARD PLACE MANOR APARTMENTS,ORCHARD PLACE MANOR APARTMENTS,SHIAWASSEE,2023-12-31,2023,0.0,False,,2025.0,,,,,
MI0005060,MI0005060,OTSEGO,OTSEGO,ALLEGAN,2024-06-30,2024,0.0,False,36.0,2025.0,,,,,
