base_pwsid,resolved_pwsid,system_name,display_name,county,monitoring_end_date,year,lead_90th_ppb,above_action_level,lines_replaced,inventory_year,inventory_lead,inventory_gpcl,inventory_unknown,total_to_identify_or_replace,inventory_complete_flag
MI0000260,MI0000260,ATHENS,ATHENS,CALHOUN,2020-06-30,2020,1.0,False,,2025.0,,,,,
MI0000260,MI0000260,ATHENS,ATHENS,CALHOUN,2021-06-30,2021,0.0,False,1.0,2025.0,,,,,
MI0000260,MI0000260,ATHENS,ATHENS,CALHOUN,2022-12-31,2022,0.0,False,5.0,2025.0,,,,,
MI0000260,MI0000260,ATHENS,ATHENS,CALHOUN,2023-12-31,2023,1.0,False,13.0,2025.0,,,,,
MI0000260,MI0000260,ATHENS,ATHENS,CALHOUN,2024-12-31,2024,1.0,False,10.0,2025.0,,,,,
MI0000260,MI0000260,ATHENS,ATHENS,CALHOUN,2025-12-31,2025,0.0,False,,2025.0,0.0,127.0,7.0,134.0,True
MI0000280,MI0000280,"AU GRES, CITY OF","AU GRES, CITY OF",ARENAC,2017-12-31,2017,2.0,False,,2025.0,,,,,
MI0000280,MI0000280,"AU GRES, CITY OF","AU GRES, CITY OF",ARENAC,2020-12-31,2020,10.0,False,,2025.0,,,,,
MI0000280,MI0000280,"AU GRES, CITY OF","AU GRES, CITY OF",ARENAC,2023-12-31,2023,4.0,False,,2025.0,,,,,
MI0000280,MI0000280,"AU GRES, CITY OF","AU GRES, CITY OF",ARENAC,2023-12-31,2023,4.0,False,,2025.0,,,,,
MI0000285,MI0000285,AU GRES TOWNSHIP,AU GRES TOWNSHIP,ARENAC,2020-06-30,2020,2.0,False,,2025.0,,,,,
MI0000285,MI0000285,AU GRES TOWNSHIP,AU GRES TOWNSHIP,ARENAC,2020-12-31,2020,4.0,False,,2025.0,,,,,
